交易日期,证券代码,利率,期限
20190125,SHIBORON.IR,2.362,O/N
20190128,SHIBOR1M.IR,2.828,1M
20190128,SHIBOR1W.IR,2.66,1W
20190128,SHIBOR1Y.IR,3.291,1Y
20190128,SHIBOR2W.IR,2.882,2W
20190128,SHIBOR3M.IR,2.901,3M
20190128,SHIBOR6M.IR,3.031,6M
20190128,SHIBOR9M.IR,3.228,9M
20190128,SHIBORON.IR,2.194,O/N
20190129,SHIBOR1M.IR,2.835,1M
20190129,SHIBOR1W.IR,2.766,1W
20190129,SHIBOR1Y.IR,3.282,1Y
20190129,SHIBOR2W.IR,2.982,2W
20190129,SHIBOR3M.IR,2.9,3M
20190129,SHIBOR6M.IR,3.027,6M
20190129,SHIBOR9M.IR,3.211,9M
20190129,SHIBORON.IR,2.078,O/N
20190130,SHIBOR1M.IR,2.84,1M
20190130,SHIBOR1W.IR,2.765,1W
20190130,SHIBOR1Y.IR,3.271,1Y
20190130,SHIBOR2W.IR,2.997,2W
20190130,SHIBOR3M.IR,2.901,3M
20190130,SHIBOR6M.IR,3.026,6M
20190130,SHIBOR9M.IR,3.199,9M
20190130,SHIBORON.IR,2.0021,O/N
20190131,SHIBOR1M.IR,2.839,1M
20190131,SHIBOR1W.IR,2.756,1W
20190131,SHIBOR1Y.IR,3.252,1Y
20190131,SHIBOR2W.IR,2.979,2W
20190131,SHIBOR3M.IR,2.9,3M
20190131,SHIBOR6M.IR,3.021,6M
20190131,SHIBOR9M.IR,3.182,9M
20190131,SHIBORON.IR,2.238,O/N
20190201,SHIBOR1M.IR,2.835,1M
20190201,SHIBOR1W.IR,2.722,1W
20190201,SHIBOR1Y.IR,3.241,1Y
20190201,SHIBOR2W.IR,2.843,2W
20190201,SHIBOR3M.IR,2.9,3M
20190201,SHIBOR6M.IR,3.017,6M
20190201,SHIBOR9M.IR,3.168,9M
20190201,SHIBORON.IR,2.1,O/N
20190202,SHIBOR1M.IR,2.819,1M
20190202,SHIBOR1W.IR,2.372,1W
20190202,SHIBOR1Y.IR,3.218,1Y
20190202,SHIBOR2W.IR,2.571,2W
20190202,SHIBOR3M.IR,2.9,3M
20190202,SHIBOR6M.IR,3.011,6M
20190202,SHIBOR9M.IR,3.143,9M
20190202,SHIBORON.IR,2.264,O/N
20190203,SHIBOR1M.IR,2.808,1M
20190203,SHIBOR1W.IR,2.334,1W
20190203,SHIBOR1Y.IR,3.202,1Y
20190203,SHIBOR2W.IR,2.47,2W
20190203,SHIBOR3M.IR,2.9,3M
20190203,SHIBOR6M.IR,3.006,6M
20190203,SHIBOR9M.IR,3.133,9M
20190203,SHIBORON.IR,2.086,O/N
20190211,SHIBOR1M.IR,2.785,1M
20190211,SHIBOR1W.IR,2.596,1W
20190211,SHIBOR1Y.IR,3.198,1Y
20190211,SHIBOR2W.IR,2.522,2W
20190211,SHIBOR3M.IR,2.898,3M
20190211,SHIBOR6M.IR,2.995,6M
20190211,SHIBOR9M.IR,3.118,9M
20190211,SHIBORON.IR,2.265,O/N
20190212,SHIBOR1M.IR,2.76,1M
20190212,SHIBOR1W.IR,2.513,1W
20190212,SHIBOR1Y.IR,3.172,1Y
20190212,SHIBOR2W.IR,2.497,2W
20190212,SHIBOR3M.IR,2.872,3M
20190212,SHIBOR6M.IR,2.961,6M
20190212,SHIBOR9M.IR,3.079,9M
20190212,SHIBORON.IR,2.017,O/N
20190213,SHIBOR1M.IR,2.732,1M
20190213,SHIBOR1W.IR,2.362,1W
20190213,SHIBOR1Y.IR,3.146,1Y
20190213,SHIBOR2W.IR,2.442,2W
20190213,SHIBOR3M.IR,2.852,3M
20190213,SHIBOR6M.IR,2.938,6M
20190213,SHIBOR9M.IR,3.044,9M
20190213,SHIBORON.IR,1.722,O/N
20190214,SHIBOR1M.IR,2.714,1M
20190214,SHIBOR1W.IR,2.33,1W
20190214,SHIBOR1Y.IR,3.119,1Y
20190214,SHIBOR2W.IR,2.397,2W
20190214,SHIBOR3M.IR,2.83,3M
20190214,SHIBOR6M.IR,2.908,6M
20190214,SHIBOR9M.IR,3.015,9M
20190214,SHIBORON.IR,1.721,O/N
20190215,SHIBOR1M.IR,2.698,1M
20190215,SHIBOR1W.IR,2.351,1W
20190215,SHIBOR1Y.IR,3.095,1Y
20190215,SHIBOR2W.IR,2.393,2W
20190215,SHIBOR3M.IR,2.802,3M
20190215,SHIBOR6M.IR,2.898,6M
20190215,SHIBOR9M.IR,2.996,9M
20190215,SHIBORON.IR,1.713,O/N
20190218,SHIBOR1M.IR,2.687,1M
20190218,SHIBOR1W.IR,2.395,1W
20190218,SHIBOR1Y.IR,3.081,1Y
20190218,SHIBOR2W.IR,2.398,2W
20190218,SHIBOR3M.IR,2.797,3M
20190218,SHIBOR6M.IR,2.885,6M
20190218,SHIBOR9M.IR,2.989,9M
20190218,SHIBORON.IR,1.8224,O/N
20190219,SHIBOR1M.IR,2.676,1M
20190219,SHIBOR1W.IR,2.398,1W
20190219,SHIBOR1Y.IR,3.073,1Y
20190219,SHIBOR2W.IR,2.404,2W
20190219,SHIBOR3M.IR,2.778,3M
20190219,SHIBOR6M.IR,2.876,6M
20190219,SHIBOR9M.IR,2.979,9M
20190219,SHIBORON.IR,1.967,O/N
20190220,SHIBOR1M.IR,2.655,1M
20190220,SHIBOR1W.IR,2.377,1W
20190220,SHIBOR1Y.IR,3.069,1Y
20190220,SHIBOR2W.IR,2.398,2W
20190220,SHIBOR3M.IR,2.759,3M
20190220,SHIBOR6M.IR,2.864,6M
20190220,SHIBOR9M.IR,2.966,9M
20190220,SHIBORON.IR,1.854,O/N
20190221,SHIBOR1M.IR,2.651,1M
20190221,SHIBOR1W.IR,2.399,1W
20190221,SHIBOR1Y.IR,3.063,1Y
20190221,SHIBOR2W.IR,2.409,2W
20190221,SHIBOR3M.IR,2.749,3M
20190221,SHIBOR6M.IR,2.858,6M
20190221,SHIBOR9M.IR,2.958,9M
20190221,SHIBORON.IR,2.03,O/N
20190222,SHIBOR1M.IR,2.656,1M
20190222,SHIBOR1W.IR,2.6,1W
20190222,SHIBOR1Y.IR,3.063,1Y
20190222,SHIBOR2W.IR,2.518,2W
20190222,SHIBOR3M.IR,2.749,3M
20190222,SHIBOR6M.IR,2.854,6M
20190222,SHIBOR9M.IR,2.955,9M
20190222,SHIBORON.IR,2.431,O/N
20190225,SHIBOR1M.IR,2.659,1M
20190225,SHIBOR1W.IR,2.658,1W
20190225,SHIBOR1Y.IR,3.059,1Y
20190225,SHIBOR2W.IR,2.628,2W
20190225,SHIBOR3M.IR,2.752,3M
20190225,SHIBOR6M.IR,2.85,6M
20190225,SHIBOR9M.IR,2.953,9M
20190225,SHIBORON.IR,2.605,O/N
20190226,SHIBOR1M.IR,2.681,1M
20190226,SHIBOR1W.IR,2.745,1W
20190226,SHIBOR1Y.IR,3.059,1Y
20190226,SHIBOR2W.IR,2.862,2W
20190226,SHIBOR3M.IR,2.756,3M
20190226,SHIBOR6M.IR,2.851,6M
20190226,SHIBOR9M.IR,2.953,9M
20190226,SHIBORON.IR,2.705,O/N
20190227,SHIBOR1M.IR,2.686,1M
20190227,SHIBOR1W.IR,2.75,1W
20190227,SHIBOR1Y.IR,3.061,1Y
20190227,SHIBOR2W.IR,2.887,2W
20190227,SHIBOR3M.IR,2.756,3M
20190227,SHIBOR6M.IR,2.852,6M
20190227,SHIBOR9M.IR,2.954,9M
20190227,SHIBORON.IR,2.654,O/N
20190228,SHIBOR1M.IR,2.694,1M
20190228,SHIBOR1W.IR,2.658,1W
20190228,SHIBOR1Y.IR,3.06,1Y
20190228,SHIBOR2W.IR,2.73,2W
20190228,SHIBOR3M.IR,2.751,3M
20190228,SHIBOR6M.IR,2.85,6M
20190228,SHIBOR9M.IR,2.951,9M
20190228,SHIBORON.IR,2.584,O/N
20190301,SHIBOR1M.IR,2.7,1M
20190301,SHIBOR1W.IR,2.511,1W
20190301,SHIBOR1Y.IR,3.059,1Y
20190301,SHIBOR2W.IR,2.565,2W
20190301,SHIBOR3M.IR,2.75,3M
20190301,SHIBOR6M.IR,2.85,6M
20190301,SHIBOR9M.IR,2.95,9M
20190301,SHIBORON.IR,2.155,O/N
20190304,SHIBOR1M.IR,2.696,1M
