id,交易日期,指标代码,指标名称,指标单位,指标频率,指标数值,更新时间
d60f5c27-9df1-4a3b-8c96-3d9518d59acd,20200731,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,13.0,2025-01-02 14:04:23.799801
7a58503f-3716-48dc-a99d-5e538d1e87bb,20200831,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,13.0,2025-01-02 14:04:23.799801
f914c6a1-d358-40b0-8f20-1713e258ac15,20200831,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,88454.1445,2025-01-02 14:04:23.799801
f5261b9a-9b5f-4692-aeaa-4d14c2b6f2ad,20200930,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,103484.1959,2025-01-02 14:04:23.799801
434527d3-2fd6-4de7-acef-997bd9cb8b18,20200930,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,13.0,2025-01-02 14:04:23.799801
d74559c6-c607-430a-a994-e8307d546165,20201031,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,12.9,2025-01-02 14:04:23.799801
7b528645-f4c1-4c5b-9a5b-34d93959f9df,20201031,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,116555.7566,2025-01-02 14:04:23.799801
08011683-ce14-4652-8498-2ddd17891673,20201130,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,129492.364,2025-01-02 14:04:23.799801
b059f46e-8872-44dd-a760-90e4c12629ab,20201130,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,12.8,2025-01-02 14:04:23.799801
a136a7de-7647-44f5-a3e5-4f1f58209f6c,20201231,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,12.8,2025-01-02 14:04:23.799801
2d478d28-83e4-4238-a469-82a884885c06,20201231,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,141442.9455,2025-01-02 14:04:23.799801
ad4243b0-ec79-4e5f-b25b-38e4de1edaa7,20210131,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,12.7,2025-01-02 14:04:23.799801
f587c31b-9df9-4a58-ac1b-75bdb845e232,20240531,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,9.3,2025-01-02 14:04:23.799801
ffc926dc-d543-4a0c-8fe6-b1006c882c5c,20240531,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,40632.3534,2025-01-02 14:04:23.799801
587edbd3-a012-4d97-a2d1-6224adafffdd,20240630,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,52528.8258,2025-01-02 14:04:23.799801
7fb1dbd0-5749-4368-9508-381172af05b9,20210930,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,112568.069,2025-01-02 14:04:23.799801
7b2a38f6-472c-4f39-bee5-934c1c028ae6,20210930,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,11.9,2025-01-02 14:04:23.799801
930cfd66-2632-446d-8e72-ec3f7dfb839a,20211031,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,124933.6196,2025-01-02 14:04:23.799801
c73c1143-5a0b-4c8d-aded-7a18c50beb88,20211031,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,11.9,2025-01-02 14:04:23.799801
7bd3b2f0-46e6-4168-8d38-61769b867103,20240630,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,8.8,2025-01-02 14:04:23.799801
5296b8b3-9da9-465e-8e94-7cea5c39c298,20240731,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,8.7,2025-01-02 14:04:23.799801
5c71e372-f89f-4ff4-8628-13b7714c4254,20240731,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,60877.4211,2025-01-02 14:04:23.799801
2f10343c-51dc-472e-8859-0f23fce12fcc,20240831,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,8.5,2025-01-02 14:04:23.799801
c4f749d6-a5f9-41ff-863a-05008f97be90,20240831,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,69283.5502,2025-01-02 14:04:23.799801
946309af-5e4a-4c2f-8062-46a0b8ee3ac5,20240930,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,8.1,2025-01-02 14:04:23.799801
a3e8ef04-bbf2-42c7-8e67-574ecb8a315c,20240930,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,78680.2837,2025-01-02 14:04:23.799801
3a023653-8006-4fc4-b094-5c9216a19dde,20210630,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,72179.0712,2025-01-02 14:04:23.799801
5b6f4403-df8a-4fa2-97c0-1bb779604359,20210731,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,84895.4072,2025-01-02 14:04:23.799801
02bad7cf-b8ed-4915-ae91-c41d841fc85b,20210731,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,12.3,2025-01-02 14:04:23.799801
1547d977-04af-4f6c-8d88-cf8e0bdd8b7e,20210831,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,12.1,2025-01-02 14:04:23.799801
0b34f8c9-7855-43fc-8328-a58e40cfadc9,20210831,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,98059.7263,2025-01-02 14:04:23.799801
da2a81f7-4e08-4364-bef5-5ffb38b53dc7,20210228,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,12.9,2025-01-02 14:04:23.799801
49ee63ff-0c41-49ea-9071-dfd6649f02ca,20210228,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,13985.8657,2025-01-02 14:04:23.799801
d8f35e8b-0964-466f-886a-e2d88715c67b,20210331,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,27575.8249,2025-01-02 14:04:23.799801
47ab16e2-b3ca-4e7d-adac-68d7815f5eab,20210331,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,12.6,2025-01-02 14:04:23.799801
9d064768-6182-462e-9812-a661af494394,20210430,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,40239.7557,2025-01-02 14:04:23.799801
b371cc70-c37d-4a08-afa0-55c162766fe4,20210430,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,12.3,2025-01-02 14:04:23.799801
e5757f2a-d409-4b11-824e-a9811adbae76,20210531,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,12.2,2025-01-02 14:04:23.799801
23b79af8-5d10-4718-835e-bf7ee3a065ea,20210531,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,54318.0785,2025-01-02 14:04:23.799801
1bf0dd95-077e-4d91-9ed7-4e105eee6259,20210630,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,12.3,2025-01-02 14:04:23.799801
4b6466af-fe10-4127-8cc1-342ec79fa0ab,20211130,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,11.7,2025-01-02 14:04:23.799801
88bf9473-e15a-440c-9cca-f9e74516cc3f,20211130,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,137313.9585,2025-01-02 14:04:23.799801
e62ab1be-5c0b-4081-b54c-901c6609cec8,20211231,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,11.6,2025-01-02 14:04:23.799801
1c157145-ee8c-41d4-baaf-49f2655079ad,20211231,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,147602.0767,2025-01-02 14:04:23.799801
ab365360-6007-45d5-8f43-c4490d040d31,20220131,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,11.5,2025-01-02 14:04:23.799801
fe4a5dbe-4cd1-4c88-8d09-bbbf41ee85e7,20220228,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,14499.3761,2025-01-02 14:04:23.799801
bc4549d7-138b-4a7d-95f7-4b0791b20cf0,20220228,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,11.4,2025-01-02 14:04:23.799801
a1fe0c90-b746-40cf-9419-185e3659b7c7,20220331,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,27764.9515,2025-01-02 14:04:23.799801
463ab128-a26c-48b1-aa2e-8ae6d8fd56f0,20220331,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,11.4,2025-01-02 14:04:23.799801
5ca28677-7d6c-4e9c-80f2-67d171885d74,20220430,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,10.9,2025-01-02 14:04:23.799801
51c60c84-188d-42fb-ba6a-659fedc27282,20220430,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,39154.3128,2025-01-02 14:04:23.799801
6175df4f-6ae0-4b33-ab35-38dfe57b0286,20220531,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,52133.617,2025-01-02 14:04:23.799801
e2278ecb-bd54-4af4-8eb5-893f89ae88a3,20220531,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,11.0,2025-01-02 14:04:23.799801
635cfce3-dd46-4937-b583-9087393e4b2a,20220630,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,68314.2075,2025-01-02 14:04:23.799801
fb5b4dd2-0895-4f0e-86c1-936e839e95f5,20220630,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,11.2,2025-01-02 14:04:23.799801
710335b1-0d3c-4c15-959e-18678ea859ae,20220731,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,79462.3902,2025-01-02 14:04:23.799801
8e4f8310-7de7-4eab-9bbc-a8f7f1684c12,20220731,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,11.0,2025-01-02 14:04:23.799801
c4da0fe2-434d-439e-b093-16f50e12cd49,20220831,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,90808.8576,2025-01-02 14:04:23.799801
98af12e4-f34f-4e44-a728-bab2ff5a3090,20221031,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,113945.3017,2025-01-02 14:04:23.799801
196500cc-04be-43a8-9eca-3787e9eb778d,20221031,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,11.1,2025-01-02 14:04:23.799801
228138bb-bfd3-4802-aaf0-03dade22dd82,20221130,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,11.0,2025-01-02 14:04:23.799801
9438c490-0a97-418b-a3df-9ca7d65597e5,20221130,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,123863.0006,2025-01-02 14:04:23.799801
285c0199-121b-453d-b6dc-5531d38101c9,20221231,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,132895.4113,2025-01-02 14:04:23.799801
2839258c-496e-4775-b4d0-43e9543f5706,20221231,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,11.1,2025-01-02 14:04:23.799801
a4f2d073-dc7f-4c42-a9e2-161da61fdc51,20230131,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,11.3,2025-01-02 14:04:23.799801
fc7a6a5d-1348-439a-9586-6ef7d381ad04,20230228,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,11.6,2025-01-02 14:04:23.799801
006a154e-19c2-4500-bb66-fb0d94ef9c6f,20230228,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,13669.2486,2025-01-02 14:04:23.799801
4e8a27b3-c1c7-444b-baad-5cebc4269241,20230331,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,11.8,2025-01-02 14:04:23.799801
f78debab-d1b8-43ee-888b-76bd336c64fe,20230331,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,25973.7239,2025-01-02 14:04:23.799801
7cec8be5-b463-4a8b-b4df-11e4c4beeba8,20230430,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,35514.2105,2025-01-02 14:04:23.799801
d416ef71-fab7-4418-bedc-08c6642094ca,20240131,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,10.4,2025-09-10 17:39:36.429328
